work_id,title,original_topic_id,cluster_id,action,reason,cosine_to_centroid
https://openalex.org/W1000256596,印度《武装部队新闻》杂志特点及启示,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1021479909,论旅行社业的“三化”发展趋势,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1038375429,中医儿科技术方法操作规范——外治疗法（征求意见稿）,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1040321041,新型高节能低成本压缩、真空机械产品——XJY-1技术研究,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1140426257,汉、土家语的接触对土家语的影响——龙山靛房土家语音系变化之分析,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1144693024,用新理念新技术推动城镇供水管网改造建设-《城镇供水设施建设与改造技术指南实施细则》管网部分解读,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1145954368,"Публикации. МРАМОРНАЯ СТУПКА ИЗ КОЛЛЕКЦИИ НАЦИОНАЛЬНОГО ЗАПОВЕДНИКА ""СОФИЯ КИЕВСКАЯ""",T14423,T14423.C03,propose_split,,0.135340795920424
https://openalex.org/W1167084365,序 : アレルギー疾患のフェノタイプ気管支喘息を越えてアレルギー疾患全体へ (特集 アレルギー疾患のフェノタイプとエンドタイプ),T14423,T14423.C04,propose_split,,0.9986686398262994
https://openalex.org/W1207966438,一代知识分子的自我写照——《名士风流》译本序,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1270055111,跨文化交际视角下《功夫熊猫》主题探析,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W131364260,永远的经典——记著名歌唱家、歌剧《洪湖赤卫队》韩英的扮演者王玉珍女士,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W132525672,基于μC／OS-II的一种嵌入式系统内存管理方案,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W140937081,佐藤春夫「西班牙犬の家」の謎をめぐって--比較文学的に読む (染田利信教授還暦記念論集),T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1416981049,Педагогические условия формирования информационной компетентности будущих учителей начальных классов,T14423,T14423.C03,propose_split,,0.09929059241083942
https://openalex.org/W144616717,クリスマス・メロディーズ : ピアノ・ソロ,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1479511023,关于建立“长江商贸走廊”的初步构想,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1480716356,专利：科学技术新常态研究的关键节点——沈君博士《专利技术主题的知识网络研究》评介,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1488722156,英国文化唯物论的德国起源：玛格特·汉尼曼论布莱希特,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1490204596,빠스꾸알 두아르떼의 일가에 나타난 인간실존의문제와 스페인적 맥락,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1511877755,전자제어식 주차브레이크(EPB) 시스템의 다축 내구시험법 개발에 관한 연구,T14423,T14423.C03,propose_split,,0.24249663692701207
https://openalex.org/W155086643,경력단절 여성의 감성지능이 고용가능성에 미치는 영향 : 사회 연결망의 매개효과를 중심으로,T14423,T14423.C03,propose_split,,0.2264378888766797
https://openalex.org/W1552753143,"重大主题报道创新路径：高站位,多形式,全媒体",T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1571799402,最新商法・会社法がわかる事典 : 読みこなし・使いこなし・活用自在,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W162748706,延命治療の差し控えと中止--患者の利益と医師の心理的負担の視点から (第5土曜特集 救急医療UPDATA--現状と展望) -- (倫理・メディア),T14423,T14423.C03,propose_split,,0.135340795920424
https://openalex.org/W1688936418,日本企業のすり合わせ能力を生かす (特集 組織力を高めるマネジメント),T14423,T14423.C04,propose_split,,0.9986686398262994
https://openalex.org/W1824050445,프랙탈 차원을 이용한 한국 해안선길이 특성 연구,T14423,T14423.C03,propose_split,,0.23979349199742037
https://openalex.org/W1931330137,일본시장에서의 수산물 수출경쟁력 분석,T14423,T14423.C03,propose_split,,0.135340795920424
https://openalex.org/W1931628525,아랍어 동사의 상(Aspect)과 시제(Tense),T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W1936938468,통일에 대비한 한국의 통일비용 재원조달방안에 관한 논의,T14423,T14423.C03,propose_split,,0.18871704406364595
https://openalex.org/W1962967553,에너지 통합 전시회 개최 위해 관련 협단체 ‘의기투합’,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W201617984,Рефлексивные модели репутации и норм деятельности,T14423,T14423.C03,propose_split,,0.14314691952573608
https://openalex.org/W2118370542,작업기억의 용량이 컴퓨터 문서의 이해에 미치는 영향,T14423,T14423.C03,propose_split,,0.2264378888766797
https://openalex.org/W2138252148,"미디어 리터러시 구성요인과 부모의 중재 행위, 아동의 이용조절 인식간의 상관관계",T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2138891372,中日循环经济：比较、借鉴与合作,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2180382749,Роль Германии в «Группе двадцати»,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2181756604,税務申告書類による農業者の収入のとらえ方(第4回)価格補填金の取扱い,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W218298242,海上保安庁管区めぐり(2)第2管区,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W219265973,20.新生児特発性食道破裂の治験例 (第23回九州小児外科学会),T14423,T14423.C03,propose_split,,0.17370619399533813
https://openalex.org/W2201756477,배전 계통에서 전기 자동차 계통 연계에 의한 순간전압강하 분석,T14423,T14423.C03,propose_split,,0.135340795920424
https://openalex.org/W2206165554,Комбинационное рассеяние света в органических полупроводниках на основе молекул дифталоцианина эрбия и хлорсодержащих молекул трифталоцианина лютеция и европия,T14423,T14423.C02,propose_split,,0.9596482889747502
https://openalex.org/W2221069905,"초등학생의 운동참여에 따른 신체적 자기개념, 자아탄력성 및 행복감의 관계",T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2248643895,룰드 서피스의 곡률 이론을 이용한 5축 NC 기계의 실시간 제어기법의 개발,T14423,T14423.C03,propose_split,,0.18420528464624036
https://openalex.org/W2257927312,医学救援队员对骨髓输液知识知、信、行的调查,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2260387204,《世說新語．識鑒》試析,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2263686077,"Бизнес-территории: определение, сущностные характеристики, основные модели развития и регулирования",T14423,T14423.C03,propose_split,,0.14245780776399242
https://openalex.org/W2265074902,浅析高职《物流配送管理》课程教学改革,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2265588233,복지국가와 역진적 조세의 정치,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2267820795,在纪念《中华人民共和国会计法》施行20周年座谈会上的讲话,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2270188911,섬유강화 고분자 복합재료의 사출성형에 있어서 웰드부의 섬유배향에 미치는 금형형상의 영향,T14423,T14423.C03,propose_split,,0.22217726130528892
https://openalex.org/W2276858589,珍愛生命 全面啟動－全球攜手防自殺：不分你我，不分地區,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2281762425,试析三个版本教科书“分数的概念”的对比分析,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2284737159,SAD は生活・人生にどのような影響を与えるか,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2305844160,مطالعه ریز ساختها در توده گرانیتوئیدی بوئین – میاندشت (زون سنندج – سیرجان),T14423,T14423.C03,propose_split,,0.373632675052553
https://openalex.org/W2335354486,Компьютерное моделирование и оптимизация в химической технологии,T14423,T14423.C03,propose_split,,0.135340795920424
https://openalex.org/W2335585686,برنامج تدريبي لتحسين أداء معلمي الحلقة الأولى من التعليم الأساسي المرتبط بمنبئات بعض أمراض الأطفال في ضوء مفهوم المدارس المعززة للصحة,T14423,T14423.C03,propose_split,,0.2468442860672913
https://openalex.org/W2336614165,成都高校“教材门”赚几何赔几何,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2336709753,在日本新东，我们看到了什么——中铸协第5期赴日本新东工业株式会社研修生学习报告,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2337151501,CCTV寻找最会“玩”的人——中央电视台播出大型互动节目《体验中国》,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2338515501,依法行使诉讼权利 严格履行诉讼义务 努力做好应诉工作,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2338808298,喘息の病態生理に関する最近の進歩 (特集 最新の喘息予防・管理ガイドライン(JGL2015)を読み解く),T14423,T14423.C04,propose_split,,0.9986686398262994
https://openalex.org/W2339542646,作业本“受伤”了,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2352640101,「おいしい」と感じるのはなぜ? 味覚の科学,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2403229555,Совершенствование оценки объекта залога в целях ипотечного кредитования,T14423,T14423.C03,propose_split,,0.135340795920424
https://openalex.org/W2466101763,ПРИЛОГИ О ЗДРАВСТВЕНЕЙ КУЛТУРИ И ЗАЩИТИ У ВИДАНЬОХ РУСКОГО НАРОДНОГО ПРОСВИТНОГО ДРУЖТВА (1921–1941),T14423,T14423.C03,propose_split,,0.12612928761458206
https://openalex.org/W2475271176,IPF2002にみる射出成形分野の技術動向(1) (特集 射出成形機--最近の注目動向),T14423,T14423.C04,propose_split,,0.9986686398262994
https://openalex.org/W2486705003,معرفی و تحلیل سینماتیک معکوس یک روبات موازی جدید جهت شبیه سازی حرکت قایق تندرو,T14423,T14423.C03,propose_split,,0.12612166038921804
https://openalex.org/W24905661,承前启后 开拓前进--北京市中小学教师教育技术能力培训（中级）一期圆满结束,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2507331805,중년층 여성 직업능력개발 실태와 요구,T14423,,unassigned,no_shared_vocabulary,
https://openalex.org/W2520213889,文瀛春雷(下)——彭真的中学时代,T14423,,unassigned,no_shared_vocabulary,
